id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
LV6.201 Bus 29;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_34;LV6.201;7
LV6.201 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_35;LV6.201;7
LV6.201 Bus 15;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_36;LV6.201;7
LV6.201 Bus 43;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_37;LV6.201;7
LV6.201 Bus 37;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_38;LV6.201;7
LV6.201 Bus 31;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_39;LV6.201;7
LV6.201 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_40;LV6.201;7
LV6.201 Bus 32;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_41;LV6.201;7
LV6.201 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_42;LV6.201;7
LV6.201 Bus 16;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_43;LV6.201;7
LV6.201 Bus 23;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_44;LV6.201;7
LV6.201 Bus 47;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_45;LV6.201;7
LV6.201 Bus 48;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_46;LV6.201;7
LV6.201 Bus 49;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_47;LV6.201;7
LV6.201 Bus 50;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_48;LV6.201;7
LV6.201 Bus 51;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_49;LV6.201;7
LV6.201 Bus 52;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_50;LV6.201;7
LV6.201 Bus 53;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_51;LV6.201;7
LV6.201 Bus 54;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_52;LV6.201;7
LV6.201 Bus 55;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_53;LV6.201;7
LV6.201 Bus 56;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_54;LV6.201;7
LV6.201 Bus 57;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_55;LV6.201;7
LV6.201 Bus 58;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_56;LV6.201;7
LV6.201 Bus 59;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_57;LV6.201;7
MV2.101 Bus 4;busbar;1.025;0.0;20;0.965;1.055;NULL;coord_58;MV2.101_LV6.201_Feeder1;5
